filename,video_id,path,opened,frame_count,fps,width,height,size_bytes
03053.mp4,03053,data\raw\wlasl_mirror\videos\03053.mp4,True,5732,25.0,480,320,5135699
03055.mp4,03055,data\raw\wlasl_mirror\videos\03055.mp4,True,185,25.0,320,240,231650
03056.mp4,03056,data\raw\wlasl_mirror\videos\03056.mp4,True,114,25.0,320,240,152739
03057.mp4,03057,data\raw\wlasl_mirror\videos\03057.mp4,True,96,29.97,736,414,335033
03058.mp4,03058,data\raw\wlasl_mirror\videos\03058.mp4,True,56,29.97002997002997,1920,1080,629692
03059.mp4,03059,data\raw\wlasl_mirror\videos\03059.mp4,True,101,29.97002997002997,640,360,163982
03060.mp4,03060,data\raw\wlasl_mirror\videos\03060.mp4,True,123,29.9975611738883,640,480,812430
17007.mp4,17007,data\raw\wlasl_mirror\videos\17007.mp4,True,5036,25.0,480,320,4414611
17013.mp4,17013,data\raw\wlasl_mirror\videos\17013.mp4,True,74,25.0,320,240,70740
17015.mp4,17015,data\raw\wlasl_mirror\videos\17015.mp4,True,109,29.97,736,414,388470
17016.mp4,17016,data\raw\wlasl_mirror\videos\17016.mp4,True,105,29.97002997002997,854,480,283562
17017.mp4,17017,data\raw\wlasl_mirror\videos\17017.mp4,True,85,30.0,640,480,621431
17022.mp4,17022,data\raw\wlasl_mirror\videos\17022.mp4,True,96,29.97002997002997,1280,720,229260
17023.mp4,17023,data\raw\wlasl_mirror\videos\17023.mp4,True,71,29.97002997002997,1280,720,132460
18939.mp4,18939,data\raw\wlasl_mirror\videos\18939.mp4,True,3706,25.0,480,320,3371846
18942.mp4,18942,data\raw\wlasl_mirror\videos\18942.mp4,True,98,29.97,320,240,153001
18944.mp4,18944,data\raw\wlasl_mirror\videos\18944.mp4,True,35,29.97002997002997,1920,1080,395822
18946.mp4,18946,data\raw\wlasl_mirror\videos\18946.mp4,True,90,29.996667036995888,640,480,612902
18950.mp4,18950,data\raw\wlasl_mirror\videos\18950.mp4,True,70,29.97002997002997,1280,720,386669
23042.mp4,23042,data\raw\wlasl_mirror\videos\23042.mp4,True,75,25.0,320,240,88633
23043.mp4,23043,data\raw\wlasl_mirror\videos\23043.mp4,True,36,23.976023976023978,1920,1080,477884
23045.mp4,23045,data\raw\wlasl_mirror\videos\23045.mp4,True,76,30.0,640,480,556068
23046.mp4,23046,data\raw\wlasl_mirror\videos\23046.mp4,True,72,29.995833911956673,640,480,537339
23053.mp4,23053,data\raw\wlasl_mirror\videos\23053.mp4,True,88,29.97002997002997,1280,720,479932
27194.mp4,27194,data\raw\wlasl_mirror\videos\27194.mp4,True,2792,25.0,480,320,2501333
27206.mp4,27206,data\raw\wlasl_mirror\videos\27206.mp4,True,71,29.97,736,414,252754
27207.mp4,27207,data\raw\wlasl_mirror\videos\27207.mp4,True,58,29.97002997002997,1920,1080,599357
27208.mp4,27208,data\raw\wlasl_mirror\videos\27208.mp4,True,68,30.004412413590234,640,480,516089
27209.mp4,27209,data\raw\wlasl_mirror\videos\27209.mp4,True,59,30.005085607730123,640,480,456540
27254.mp4,27254,data\raw\wlasl_mirror\videos\27254.mp4,True,2792,25.0,480,320,2501333
27263.mp4,27263,data\raw\wlasl_mirror\videos\27263.mp4,True,87,29.97002997002997,1280,720,603982
27264.mp4,27264,data\raw\wlasl_mirror\videos\27264.mp4,True,60,29.97002997002997,1920,1080,652196
27265.mp4,27265,data\raw\wlasl_mirror\videos\27265.mp4,True,76,30.0,640,480,548516
27269.mp4,27269,data\raw\wlasl_mirror\videos\27269.mp4,True,125,30.0,1280,720,192446
27271.mp4,27271,data\raw\wlasl_mirror\videos\27271.mp4,True,91,28.632,720,480,167781
36645.mp4,36645,data\raw\wlasl_mirror\videos\36645.mp4,True,2867,25.0,480,320,2509074
36648.mp4,36648,data\raw\wlasl_mirror\videos\36648.mp4,True,74,29.97,320,240,144069
