path,label,original_label,source_dataset,source_id,signer_id,split_original,license_note,valid
data/raw/wlasl_mirror/videos/03053.mp4,appointment,appointment,WLASL,03053,wlasl_9,val,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/03055.mp4,appointment,appointment,WLASL,03055,wlasl_37,train,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/03056.mp4,appointment,appointment,WLASL,03056,wlasl_2,train,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/03057.mp4,appointment,appointment,WLASL,03057,wlasl_36,train,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/03058.mp4,appointment,appointment,WLASL,03058,wlasl_46,test,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/03059.mp4,appointment,appointment,WLASL,03059,wlasl_60,train,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/03060.mp4,appointment,appointment,WLASL,03060,wlasl_13,test,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/17007.mp4,doctor,doctor,WLASL,17007,wlasl_9,train,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/17013.mp4,doctor,doctor,WLASL,17013,wlasl_8,train,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/17015.mp4,doctor,doctor,WLASL,17015,wlasl_36,train,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/17016.mp4,doctor,doctor,WLASL,17016,wlasl_60,val,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/17017.mp4,doctor,doctor,WLASL,17017,wlasl_21,train,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/17022.mp4,doctor,doctor,WLASL,17022,wlasl_5,val,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/17023.mp4,doctor,doctor,WLASL,17023,wlasl_5,val,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/18939.mp4,emergency,emergency,WLASL,18939,wlasl_9,test,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/18942.mp4,emergency,emergency,WLASL,18942,wlasl_53,val,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/18944.mp4,emergency,emergency,WLASL,18944,wlasl_45,train,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/18946.mp4,emergency,emergency,WLASL,18946,wlasl_21,train,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/18950.mp4,emergency,emergency,WLASL,18950,wlasl_5,train,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/23042.mp4,form,form,WLASL,23042,wlasl_37,test,WLASL academic/computational use,True
data/raw/wlasl_mirror/videos/23043.mp4,form,form,WLASL,23043,wlasl_32,train,WLASL academic/computational use,True
